,PRODUCTCODE,pdt_inclexcl_ENG_CONTENT,pdt_product_detail_PRODUCTDESCRIPTION,pdt_inclexcl_ENG_CONTENT_lang
2012,120609P5,Driver/guide; Gratuities; Food and drinks; Hotel pickup and drop-off,"Experience this exclusive tour across the best fashion retails, vintage stores, premium outlets and relaxing sightseeing in New York and New Jersey. We will take you to 5th avenue high fashion stores, Brooklyn and Manhattan vintage stores, New Jersey premium outlets and other stores you like to visit.

**10-hr Woodbury outlet tour includes day/night sightseeing as well - before and after shopping! 
**5-hr Vintage tour includes more than 10 vintage stores in Brooklyn and Manhattan. Sightseeing tour will be on Brooklyn side after shopping.
**5-hr High Fashion tour includes only high fashion stores in Manhattan. 

These exclusive shopping tours will include the best sightseeing attractions such as, Hamilton park(NJ), Dumbo, Brooklyn bridge, Brooklyn heights, Harlem, Central Park(north - west), GW bridge and more. Enjoy your exclusive shopping tour with SUV car. See you on board! 
",af
2021,120946P1,ELOPMENT CEREMONY,"Wedding vows in Paris, creates tailor-made English, French or bilingual wedding ceremonies all over France.

Living in the most romantic city in the world we think that eloping to Paris might be the most beautiful way to renew your vows, have a romantic ceremony, exchange your rings in a stunning environment and once back home, there will be so many sweet memories and lot of photos.

Only for the 2 of you, or with 6 guests (max).

We have other packages including : make up and / or hair styling, flower bouquet / ""boutonnière"", 2 hour tour of Paris with a photographer...
",pt
2050,121173P13,Zoom virtual room,"Come and enjoy this online baking activity with your family, this will be a hands on experience. You will discover that with a couple of simple ingredients you will be making an awesome pastry. 
",af
2062,121185P1,Guiding ,"I offer a private tours, that as well can be tailored. We gonna explore the heart of Barcelona, know it’s secrets and legends",af
2091,122012P14,SUMMIT One Vanderbilt Tickets; Local Expert Guide; Hotel Pickup,"Discover the essence of Manhattan on our guided walking tour through iconic landmarks and cultural gems.

From the dazzling lights of Times Square to the majestic beauty of Rockefeller Center and St. Patrick's Cathedral, we'll traverse the vibrant streets of Midtown Manhattan. 

Explore Fifth Avenue's famous boutiques and the legendary Diamond District before admiring the architectural wonders of the New York Public Library. 

Step inside the historic Grand Central Terminal before culminating at the SUMMIT for breathtaking views of the city skyline. 

Join us for an unforgettable journey through the heart of New York City.",de
2097,122012P7,Blankets; Hotel Pick-Up,This tour will lead you to the best movie spots in Central Park and celebrity apartments around it. On this sightseeing ride you will see more than 45 famous spots featured in famous movies and shows.,sv
2128,122607P3,Museum entrance ticket,"Private tour of the Louvre museum for a group from 2 to 6 people.

WARNING: Due to a recent impressive rise in the visits to the Louvre, a 5-day term before the tour is required in order to safely ensure the tickets.

The visit will start in front of the Louvre museum where the guide will briefly review the history of the palace and its architecture.
The tour will continue inside the museum where you will discover the foundations of the 12th century fortress. This visit will also be an opportunity to discover the hidden dungeon, the apartments of the kings and the 16th century rooms. 

The tour will of course highlight the most famous works of the museum, such as Mona Lisa, the Venus of Milo, the Winged Victory of Samothrace as well as the most iconic French paintings.

Among many others, the visit will also show Italian paintings and the French crown jewels displayed in the superbe Apollo gallery and end with the stately imperial apartments. 
",fr
2129,122607P5,Tous les bâtiments visités sont libres d'accès,"Rare opportunity to see many places, sometimes famous, with the light of the past. And many pictures in black and white or color, that illuminate the most darkest period of French history. in addition numerous anecdotes and stories about people both unknown and well known ones.",fr
2138,123061P3,Private guide,"Discover the fantastic Street Art of Barcelona with your private guide. Discover murals in the Poblenou district, admire stencils in El Raval and visit an art gallery in the Gothic quarter. Barcelona has been a key player in the Street art scene for years. With inspiring artists, an allowing political policy and a couple of great galleries, this town is a dream for street art lovers. Your tour guide knows exactly where to take you. Before the tour starts, you meet up with your private guide in the bike shop El Ciclo.",af
2167,123350P1,Guide,"This tour is not about the usual tourist places - it is about the real Paris. To understand this city, it is not enough to visit the main attractions: you need to get off the familiar Google Maps direction. You will discover the chic passages and galleries, the luxurious Palais Royal and the old streets of Marais. You will live a real French life in the Montorgueil area and find the oldest market in Paris. 
During the walk you will see the Palais Royal, a magnificent palace of Duke of Richelieu. You will walk around the oldest district in Paris and find out the legend of the mysterious Knights Templar. We will visit the church of Saint-Eustache, where Moliere and Madame de Pompadour were baptized and admire the biggest organ in France.
Discover Paris as a real Parisian and fall in love with this beautiful city.",es
2169,123350P2,In-Person guide,"Let's experience Paris’s dark side on a spine-chilling night walk! 
Paris is not only the city of love, but also a real haunted city. Many historical murders, crimes and fantastic legends have written the story of the city. 

We will spend two hours together during which we will discover the dark secrets of Notre Dame district, the french version of ""Romeo & Juliette"" tragic couple, the most famous ghosts of the city, and the captivating horror stories about the historical buildings. 
You will hear about supernatural places and creepy legends from the ghosts to the mysterious 'Vampire of Montparnasse'. We will visit the strangest murder spots and, if we are lucky enough, we will see a real ghost! ;) Just kidding.
If you like creepy stories and legends, this is a must do experience!
",nl
